record_id,province,tourism_city,destination_type,season,weather_condition,tourism_event_type,transport_mode_priority,tourist_arrivals,domestic_tourists,international_tourists,average_stay_days,repeat_visit_rate,hotel_occupancy_rate,available_hotel_rooms,homestay_availability_index,high_speed_rail_access_score,metro_access_score,tourist_bus_capacity,airport_connectivity_score,traffic_congestion_index,public_facility_usage_rate,smart_tourism_service_score,public_toilet_availability_score,tourist_information_center_score,public_safety_score,tourist_satisfaction_score,social_media_sentiment_score,online_search_trend_index,online_review_volume,e_ticket_booking_rate,regional_income_index,tourism_revenue_yuan,local_business_revenue_yuan,employment_support_index,tourism_gdp_contribution_rate,infrastructure_availability_score,transport_service_score,accommodation_capacity_score,promotion_investment_score,heritage_site_capacity_score,operational_cost_yuan,resource_utilization_rate,decision_response_time_min,crowd_risk_index,environmental_pressure_index,economic_impact_score,tourism_demand_score,resource_pressure_score,demand_category,resource_allocation_decision,public_management_action
11,Hainan,Chongqing,Urban_Commercial_Tourism_Hub,Spring,Pleasant,Coastal_Leisure_Event,Tourist_Bus,71079,56574,14505,7.18,8.76,39.41,3969,63.02,92.54,73.89,31044,33.88,48.64,51.2,73.88,93.26,60.03,78.41,3.09,0.565,88.44,18476,62.57,68.92,11253571.21,1900739.12,60.48,27.75,71.61,45.15,37.48,82.45,39.83,4033331.93,87.62,51.23,10.87,79.41,57.76,56.14,44.69,Moderate,Infrastructure_Focused,Increase_Public_Facilities
12,Guangdong,Guiyang,Rural_Tourism_Village,National_Day_Golden_Week,Pleasant,Mountain_Adventure_Event,Shared_Bicycle,119900,104077,15823,3.05,51.73,88.8,8177,87.38,54.95,97.79,11719,35.47,94.8,75.57,93.35,49.46,73.61,36.77,2.33,0.691,69.6,18925,33.11,95.73,2928150.01,1091809.16,82.92,16.4,94.59,92.03,67.94,82.37,71.9,10548513.72,93.63,122.85,87.41,10.47,37.16,76.98,78.79,High,Risk_Control_Allocation,Control_Crowd_Risk
13,Shanghai,Hangzhou,Coastal_Tourism_Zone,Spring,Rainy,Food_Tourism_Festival,High_Speed_Rail,108500,81154,27346,6.31,17.35,63.31,6795,50.73,99.18,57.66,63338,24.94,39.47,63.44,51.87,67.51,29.87,58.44,2.56,0.755,84.07,45314,42.35,81.89,8650641.08,5066639.21,30.92,17.25,50.01,49.23,52.8,36.73,28.51,862230.7,61.32,144.71,31.69,70.36,48.89,71.19,55.8,High,Promotion_Focused,Increase_Promotion_Investment
14,Henan,Qingdao,Pilgrimage_Tourism_Area,Labour_Day_Holiday,Humid,Food_Tourism_Festival,Shared_Bicycle,32806,28612,4194,1.53,58.73,46.4,3510,68.16,46.91,38.07,46177,44.36,91.74,60.75,61.35,76.12,40.19,88.73,4.87,0.787,97.67,27768,76.56,105.22,4604166.64,2906534.58,53.53,17.74,57.52,79.38,78.07,51.36,53.2,1753958.8,33.29,29.89,75.89,15.82,39.3,58.7,58.66,Moderate,Promotion_Focused,Increase_Promotion_Investment
15,Sichuan,Xiamen,Pilgrimage_Tourism_Area,Spring,Humid,Lantern_Festival,Metro_Service,105187,98372,6815,1.21,34.35,59.72,9625,73.23,55.31,73.78,53329,87.78,70.81,71.07,98.45,29.88,57.31,81.83,4.9,0.756,88.96,866,73.24,75.82,14783398.91,5721325.74,23.36,30.17,77.16,26.65,66.1,66.17,72.64,7782662.63,72.37,136.52,38.95,53.49,68.3,74.96,62.1,High,Balanced_Allocation,Balanced_Public_Management
16,Shanghai,Urumqi,Mountain_Scenic_Area,Autumn,Hot,Business_Expo,Metro_Service,57037,47528,9509,7.97,17.81,90.41,3381,87.73,29.14,78.35,25882,46.25,49.45,82,67.75,52,51.85,49.95,2.96,0.25,32.31,34560,54.98,63.87,11261767.73,3827855.65,97.74,27.03,52.13,61.38,96.91,66.01,82.08,4949183.4,74.97,178.35,80.12,10,72.16,47.13,64.54,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
17,Beijing,Shenzhen,Pilgrimage_Tourism_Area,Summer,Snowy,Dragon_Boat_Event,Ferry_Service,58831,53153,5678,1.86,54.62,42.82,7189,72.14,78.33,90.78,53459,67.9,78.32,86.56,73.06,88.93,91.19,67.46,2.78,0.669,72.98,41441,21.25,104.54,6563903.23,5307751.68,22.52,14.25,95.21,76.29,98.72,35.6,55.59,4610812.54,71.32,60.2,13.53,59.8,41.39,52.63,55.47,Moderate,Balanced_Allocation,Balanced_Public_Management
18,Henan,Chongqing,Rural_Tourism_Village,Autumn,Cold,Business_Expo,Tourist_Bus,11857,10345,1512,6.36,36.68,41.31,11439,98.3,25.98,77.18,44826,30.31,43.12,44.72,39.64,38.62,82.29,59.37,3.78,0.939,85.31,915,85.72,122.72,5037744.31,8314190.55,77.01,8.41,33.51,36.74,94.41,74.89,96.06,3806298.08,36.77,120.6,94.73,9.45,57.47,52.46,46.07,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
19,Henan,Chongqing,Urban_Commercial_Tourism_Hub,Spring,Clear,Dragon_Boat_Event,High_Speed_Rail,54428,39228,15200,5.23,11.51,96.81,4331,20.98,57.24,19.36,9001,47.04,70.11,64.85,97.43,69.41,62.9,96.19,3.52,0.215,36.17,5667,83.58,86.66,1906391.86,5791899.27,21.58,13.04,51.48,83.54,82.52,62.51,48.18,6280780.3,91.21,100.55,72.88,78.79,31.15,49.97,72.98,Moderate,Infrastructure_Focused,Increase_Public_Facilities
20,Xinjiang,Beijing,Historical_Cultural_City,National_Day_Golden_Week,Cloudy,Lantern_Festival,Tourist_Bus,73009,54704,18305,4.17,9.87,53.79,1037,86.78,41.97,75.59,27618,74.71,35.04,95.53,26.61,30.04,67.67,48,3.48,0.461,49.89,49651,37.87,60.89,6960539.32,4470106.22,45.11,34.34,40.06,39.91,54.46,27.55,83.85,11050138.41,31.62,11.75,64.19,88.48,53.67,48.79,65.34,Moderate,Public_Facility_Focused,Balanced_Public_Management
21,Shandong,Zhangjiajie,Pilgrimage_Tourism_Area,Winter,Snowy,Coastal_Leisure_Event,Metro_Service,25544,23141,2403,1.26,22.46,90.12,1011,43.9,72.25,35.01,39832,78.51,45.43,89.17,59.47,76.84,97.63,71.11,4.3,0.352,72.05,29644,90,100.85,8597584.68,5053913.91,54.83,24.44,89.74,60.64,68.19,83.66,41.18,5478817.25,80.35,46.58,88.59,29.33,57.58,51.27,66.51,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
22,Tibet,Kunming,Historical_Cultural_City,Summer,Hot,Cultural_Heritage_Exhibition,Ferry_Service,100595,73405,27190,3.3,48.68,70.94,7827,28.97,41.1,29.69,60244,81.14,15.46,28.96,88.52,86.71,81.24,97.41,3.17,0.736,71.63,46377,86.75,107.74,5017626.09,5453672.06,68.53,21.28,88.55,57.29,29.11,69.73,98.22,3839329.13,97.04,116.95,27.83,41.47,52.5,75.2,40.58,High,Balanced_Allocation,Balanced_Public_Management
23,Guangxi,Shanghai,Ethnic_Cultural_Tourism_Area,Winter,Humid,Food_Tourism_Festival,Airport_Shuttle,61871,58746,3125,7.3,32.75,50.39,411,37.2,66.93,28.52,36113,58.39,39.61,85.04,79.52,97.1,37.82,35.39,4.13,0.531,81.62,8395,39.9,85.79,4051380.13,6409563.31,65.49,11.8,97.83,59.29,89.26,72.98,46.81,5629541.89,35.69,135.39,80.48,46.54,48.35,53.77,60.84,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
24,Guangxi,Guiyang,Mountain_Scenic_Area,Chinese_New_Year,Cloudy,No_Major_Event,Tourist_Bus,110671,103430,7241,7.34,38,53.88,11850,83.7,31.22,15.68,33500,76,23.21,52.69,42.16,76.04,37.42,39.58,3.49,0.893,9.43,24048,93.39,86.9,6262987.97,4462358.62,50.02,22.18,36.59,34.63,92.82,44.7,26.01,8765468.76,40.12,104.47,67.59,68.19,48.39,67.33,55.8,High,Risk_Control_Allocation,Control_Crowd_Risk
25,Guizhou,Guilin,Rural_Tourism_Village,Summer,Humid,Cultural_Heritage_Exhibition,Shared_Bicycle,112381,90688,21693,5.2,15.76,61.37,7567,51.95,30.85,27.59,42720,84.93,86.3,49.6,84.53,91.93,60.77,57.49,4.5,0.88,16.38,28703,75.09,115.33,14520150.34,6321153.53,83,22.3,89.49,71.93,36.79,13.99,90.12,4580016.4,77.74,130.77,5.64,40.53,81.11,66.37,53.58,High,Balanced_Allocation,Balanced_Public_Management
26,Henan,Shanghai,Rural_Tourism_Village,Winter,Humid,Temple_Fair,Metro_Service,14478,11502,2976,5.02,49.05,44.57,8054,73.08,91.46,80.74,13913,34.17,62.84,48.37,77.72,53.14,56.38,80.56,2.39,0.843,82.28,42765,69.33,68.6,5482260.66,6625390.28,97.06,11.26,53.71,73.95,65.51,24.73,26.4,8734929.53,31.94,16.92,23.13,23.07,59.97,50.84,38.87,Moderate,Promotion_Focused,Increase_Promotion_Investment
27,Jiangxi,Shenzhen,Eco_Tourism_Zone,Spring,Clear,Business_Expo,Tourist_Bus,36374,31540,4834,3.98,28.59,80.44,2738,72.64,83.83,90.69,62097,89.42,19.53,81.66,44.98,39.47,61.76,92.62,4.78,0.487,13.11,35482,88.98,105.17,2352280.5,3155476.94,20.82,13.33,72.81,68.77,64.26,84.64,54.8,4257946.07,51.82,103.37,34.59,10.15,24.79,45.62,45.88,Moderate,Balanced_Allocation,Balanced_Public_Management
28,Guangdong,Beijing,Ethnic_Cultural_Tourism_Area,Autumn,Rainy,Food_Tourism_Festival,Metro_Service,52135,45192,6943,6.43,27.09,61.73,2180,47.79,97.57,41.93,52448,29.86,37.62,68.83,75.02,92.78,87.75,35.1,2.46,0.511,27.96,27901,57.24,101.52,4082685.02,4192152.04,25.43,22.74,74.98,90.79,96.9,72.81,91.77,7619040.97,64.93,143.5,16,51.3,36.63,45.71,46.1,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
29,Jiangsu,Guiyang,Coastal_Tourism_Zone,Winter,Cloudy,Dragon_Boat_Event,Ferry_Service,68115,50498,17617,7.18,41.17,91.91,1283,62.49,42.06,51.09,38625,36.56,71.89,57.02,64.79,71.27,64.26,63.66,2.89,0.575,47.55,42850,53.94,129.32,10537654.34,8181727.62,82.26,16.23,67.71,42.63,35.51,61.94,95.48,3547742.5,72.7,24.57,82.39,36.92,74.37,60.22,68.91,High,Risk_Control_Allocation,Control_Crowd_Risk
30,Guizhou,Xiamen,Pilgrimage_Tourism_Area,Labour_Day_Holiday,Clear,Food_Tourism_Festival,Tourist_Bus,83959,64790,19169,6.09,51.63,93.6,2174,60.6,46.94,18.89,49736,24.23,61.35,85.76,58.03,35.05,36.76,48.44,2.81,0.456,74.72,19122,27.09,96.42,6754489.37,4463658.75,62.2,19.78,99.31,54.57,29.45,81.33,84.11,2677563.96,72.86,81.26,56.52,13.6,51.62,64.84,66.2,High,Accommodation_Focused,Expand_Accommodation_Capacity
31,Yunnan,Beijing,Rural_Tourism_Village,National_Day_Golden_Week,Cold,Coastal_Leisure_Event,Metro_Service,32215,28115,4100,4.68,9.38,93.47,10674,54.71,99.87,64.87,60865,39.95,77.46,62.16,65.44,83.6,96.65,88.84,2.82,0.362,54.29,27307,58.12,95.33,5963283.29,4852558,25.87,17.23,67.34,90.32,28.21,19.18,22.31,10828037.45,60.6,36.85,91.24,50.89,40.75,46.64,71.79,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
32,Fujian,Nanchang,Urban_Commercial_Tourism_Hub,Dragon_Boat_Festival,Snowy,Temple_Fair,High_Speed_Rail,35849,32700,3149,5.44,10.79,76.56,8060,39.78,76,16.2,55567,77.53,69.89,72.78,32.59,93.07,87.23,79.66,4.61,0.895,88.27,44570,44.26,79.22,6285904.81,7570718.38,24.61,27.9,54.4,92.16,96.07,11,22.32,11085476.2,93.54,33.62,60.38,45.36,53.01,58.27,62.82,Moderate,Promotion_Focused,Increase_Promotion_Investment
33,Yunnan,Guilin,Mountain_Scenic_Area,Chinese_New_Year,Humid,Cultural_Heritage_Exhibition,Ferry_Service,13205,10116,3089,2.54,13.47,65.47,798,56.89,47.63,54.9,7542,71.96,16.77,81.74,58.65,58.03,37.41,80.24,3.29,0.503,20.27,15732,87.8,80.74,12080842.84,2648048.82,65.89,21.82,30.9,39.24,58.74,46.68,35.9,9800055.13,78.45,92.54,42.49,34.11,60.75,37.24,45.18,Low,Public_Facility_Focused,Balanced_Public_Management
34,Chongqing,Shenzhen,Ethnic_Cultural_Tourism_Area,Spring,Humid,Dragon_Boat_Event,Private_Car,93879,83408,10471,7.94,56.23,40.4,261,25.95,44.33,31.68,20676,78.38,27.82,32.13,80.16,68.68,96.21,33.07,3.17,0.962,53.13,16703,48.73,91.07,3344723.17,5479044.79,25.23,9.09,96.43,36.57,37.09,99.44,95.06,8033650.76,54.58,54.01,6.47,17.98,32.97,65.93,30.54,High,Risk_Control_Allocation,Control_Crowd_Risk
35,Zhejiang,Chengdu,Ethnic_Cultural_Tourism_Area,Labour_Day_Holiday,Clear,Cultural_Heritage_Exhibition,Private_Car,100277,93148,7129,7.55,56.76,83.35,2859,76.82,88.11,59.44,33874,82.21,22.31,64.32,81.33,40.78,90.05,61.59,2.24,0.452,63.71,26563,68.49,46.35,11793553.43,1824861.99,94.57,9.92,66.73,88.89,98.28,98.88,22.82,6388293.97,86.63,176.14,71.36,65.63,60.2,69.79,62.83,High,Infrastructure_Focused,Increase_Public_Facilities
36,Hubei,Chengdu,Historical_Cultural_City,Chinese_New_Year,Cold,Lantern_Festival,Ferry_Service,67501,50509,16992,7.7,44.39,40.7,11437,59.39,55.01,98.29,32495,74.44,32.26,34.23,84.84,43.25,32.42,63.91,4.54,0.418,14.9,8230,91.42,125.92,10723687.79,5766049.62,74.22,9.7,97.39,71.11,79.12,87.9,98.15,7951437.8,70.66,110.59,76.68,45.32,63.48,46.8,47.02,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
37,Chongqing,Chongqing,Coastal_Tourism_Zone,National_Day_Golden_Week,Cloudy,Lantern_Festival,Tourist_Bus,3614,2982,632,2.17,10.62,46.68,10849,83.86,28.06,33.15,16140,35.67,81.06,68.84,57.6,76.45,54.79,54.9,4.63,0.222,38.79,32216,47.8,78.79,9787184.27,492734.86,75.35,2.43,54.65,81.35,40.71,87.7,93.27,8636607.6,46.41,178.42,56.95,9.01,44.02,25.14,51.15,Low,Infrastructure_Focused,Increase_Public_Facilities
38,Fujian,Luoyang,Ethnic_Cultural_Tourism_Area,National_Day_Golden_Week,Humid,Lantern_Festival,Shared_Bicycle,46943,43381,3562,5.57,50.8,88.94,5554,37.59,52.18,20.61,26919,59.55,66.15,96.87,78.18,35.91,93.3,32.3,3.94,0.466,6.44,23865,57.66,57.13,2414233.12,2714677,68.42,8.46,42.54,60.63,37.89,58.57,33.58,6863446.62,95.09,45.9,66.41,89.72,33.66,46.99,76.57,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
39,Shanghai,Xiamen,Rural_Tourism_Village,Autumn,Cold,Dragon_Boat_Event,Metro_Service,84708,68524,16184,5.59,57.46,89.64,4124,51.99,38.29,42.61,41036,64.65,28.08,80.07,81.22,39.77,25.85,52.16,2.59,0.426,63.12,19884,60.15,97.45,8377119.87,1011606.86,65.06,33.69,39.8,45.5,44,63.46,96.69,1857917.34,51.36,129.57,78.3,32.31,52.1,65.69,64.36,High,Risk_Control_Allocation,Control_Crowd_Risk
40,Jiangxi,Kunming,Historical_Cultural_City,Dragon_Boat_Festival,Cloudy,No_Major_Event,Private_Car,63833,50087,13746,3.49,60.18,62.82,11091,93.51,32.02,19.35,34678,34.36,76.2,47.36,82.51,53.57,83.08,91.58,2.61,0.941,27.13,18684,93.36,107.31,7537075.76,457233.17,98.68,32.22,34.59,33.19,56.73,20.6,70.38,5341060.86,91.53,150.29,35.59,94.82,56.42,62.7,59.84,High,Transport_Focused,Improve_Transport_Service
41,Guangxi,Xiamen,Mountain_Scenic_Area,Chinese_New_Year,Clear,Food_Tourism_Festival,Private_Car,3121,2805,316,7.06,53.74,81.08,7456,61.91,91.48,28.87,31437,20.8,68.27,87.55,21.29,52.6,90.86,63.42,4.1,0.413,93.87,23708,89.45,85.06,8222406.92,8331126.73,97.74,3.94,35.47,32.52,32.35,79.76,81.19,9281275.95,83.16,16.41,44,60.55,68.34,51.07,62.08,Moderate,Public_Facility_Focused,Balanced_Public_Management
42,Yunnan,Zhangjiajie,Ethnic_Cultural_Tourism_Area,National_Day_Golden_Week,Humid,Cultural_Heritage_Exhibition,Ferry_Service,39423,32176,7247,6.48,33.57,49.09,1341,93.02,77.11,18.79,19919,47.59,17.85,31.23,73.14,89.17,98.71,53.37,4.41,0.53,68.33,30014,82.73,62.88,3771693.44,291696.98,30.42,8.03,78.74,75.15,64.83,92.09,56.06,8833929.76,90.98,76.97,85.41,76.99,20.43,50.12,48.26,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
43,Henan,Zhangjiajie,Eco_Tourism_Zone,Winter,Hot,Cultural_Heritage_Exhibition,Tourist_Bus,50050,44520,5530,6.04,34.15,92.39,11580,51.8,75.31,72.54,9536,47.02,69.74,72.97,37.82,98.78,87.52,84.53,3.01,0.338,9.48,29888,95.31,104.69,5403080.44,6514254.35,59.34,33.78,73.16,99.72,31.87,21.24,53.37,7352426.74,50.9,60.34,27.55,84.59,59.05,49.01,65,Moderate,Accommodation_Focused,Expand_Accommodation_Capacity
44,Hainan,Nanchang,Eco_Tourism_Zone,National_Day_Golden_Week,Hot,Dragon_Boat_Event,Shared_Bicycle,38486,28877,9609,1.2,36.33,76.86,10839,94.31,70.05,48.06,32377,98.79,51.73,94.72,58.18,94.94,28.81,63.46,4.07,0.822,97.52,16239,85.51,58.9,5590325.02,1633558.77,67.29,23.24,76.84,42.64,81.99,34.78,40.33,8524623.79,61.41,36.69,89.31,62.93,43.7,65.31,71.75,High,Risk_Control_Allocation,Control_Crowd_Risk
45,Guangxi,Qingdao,Historical_Cultural_City,National_Day_Golden_Week,Humid,No_Major_Event,Tourist_Bus,43225,36864,6361,7.93,35.01,89.89,10783,59.47,78.94,58.88,48917,21.08,19.74,44.7,95.83,22.98,35.85,82.64,2.24,0.435,75.22,47263,78.69,85.68,6797410.94,5734654.28,83.35,2.85,65.06,96.59,73.16,52.38,62.26,2105972.39,94.65,156.83,11.58,92.54,53.77,57.52,46.09,Moderate,Promotion_Focused,Increase_Promotion_Investment
46,Guangdong,Suzhou,Eco_Tourism_Zone,Dragon_Boat_Festival,Rainy,Temple_Fair,Tourist_Bus,13744,11147,2597,6.03,37.31,60.08,6557,35.69,96.07,71.39,21310,81.04,49.93,30.75,30.89,26.04,82.83,63.78,2.81,0.802,21.05,39655,10.16,127.95,1892853.93,3427567.71,54.76,26.7,44.36,98.47,76.28,80.43,40.73,8261647.1,81.76,165.58,63.16,21.33,38.31,36.06,43.29,Low,Infrastructure_Focused,Increase_Public_Facilities
47,Hubei,Beijing,Rural_Tourism_Village,Winter,Humid,Business_Expo,Airport_Shuttle,31959,30659,1300,7.79,12.65,37.56,2501,60.8,30.08,28.18,63171,61.46,28.96,90.29,38.81,43.2,93.32,62.3,4.97,0.901,49.07,35936,58.64,100.68,5726253.03,6648459.14,79.12,22.23,38.23,62.13,55.14,56.65,51.19,7970449.53,52.88,151.34,10.4,49.77,60.5,45.7,41.33,Moderate,Public_Facility_Focused,Balanced_Public_Management
48,Xinjiang,Guiyang,Coastal_Tourism_Zone,Spring,Humid,Cultural_Heritage_Exhibition,High_Speed_Rail,98409,84822,13587,1.61,54.43,98.56,6229,73.43,27.65,79.24,33346,55.83,73.14,81.35,94.32,38.13,96.14,47.7,2.53,0.672,81.44,44423,25.77,99.58,13164299.83,7480360.51,85.66,4.61,43.76,29.45,42.03,63.04,41.98,11151896.48,62.44,34.56,74.81,33.22,74.76,74.4,75.79,High,Transport_Focused,Improve_Transport_Service
49,Zhejiang,Chengdu,Rural_Tourism_Village,Autumn,Humid,Coastal_Leisure_Event,Ferry_Service,48774,43102,5672,5.86,8.17,83.78,10229,76.34,67.09,50.28,26759,57.63,13.47,48.15,66.05,83.98,31.39,50.49,3.96,0.454,88.1,19506,43.91,115.61,4883848.02,3217757.56,84.1,17.87,96.96,29.56,71.59,12.1,36.15,5486928.82,82.33,104.56,54.4,44.99,48.51,54.59,47.75,Moderate,Promotion_Focused,Increase_Promotion_Investment
50,Chongqing,Chongqing,Urban_Commercial_Tourism_Hub,Autumn,Clear,Mountain_Adventure_Event,High_Speed_Rail,114726,86210,28516,6.21,9.77,45.65,6117,61.15,55.47,69.16,27669,93.93,12.13,75.04,38.51,31.61,61.46,91.42,2.41,0.643,26.2,31722,96.72,50.88,5901575.41,5365943.05,66.19,26.16,70.47,91.13,38.95,39.73,57.83,2234985.26,45.19,115.5,17.33,90.87,55.69,63.12,49.58,High,Balanced_Allocation,Balanced_Public_Management
51,Hainan,Guangzhou,Eco_Tourism_Zone,Summer,Humid,Dragon_Boat_Event,High_Speed_Rail,57574,55160,2414,1.45,9.51,75.97,8289,60.36,31.18,93.12,5429,59.97,86.69,76.41,55.74,69.64,32.86,76.77,3.06,0.468,12.31,45728,58.15,71.24,12725084.34,3004459.17,78.08,16.22,78.25,30.89,64.29,20.46,31.79,5991061.42,91.5,37.77,26.43,60.63,64.05,45.04,63.65,Moderate,Transport_Focused,Improve_Transport_Service
52,Zhejiang,Nanchang,Rural_Tourism_Village,Labour_Day_Holiday,Humid,Food_Tourism_Festival,Metro_Service,19962,14618,5344,1.45,59.31,95.52,9455,38.93,96.69,21.87,22945,45.76,34.08,79.75,85.18,64.41,21.44,45.15,4.94,0.701,28.17,11266,14.69,71.89,4911737.1,7521224.66,95.41,15.94,55.24,88.08,90.43,76.18,43.9,9588744.82,52.11,100.69,95.14,88.73,62.58,45.52,71.3,Moderate,Risk_Control_Allocation,Control_Crowd_Risk
